Município,Domain,Status,Signal_Found,Notes
Abrantes,cm-abrantes.pt,VERIFIED,cm- in domain (auto-pass),
Águeda,cm-agueda.pt,VERIFIED,cm- in domain (auto-pass),
Alandroal,cm-alandroal.pt,VERIFIED,cm- in domain (auto-pass),
Albufeira,cm-albufeira.pt,VERIFIED,cm- in domain (auto-pass),
Alcanena,cm-alcanena.pt,VERIFIED,cm- in domain (auto-pass),
Alcobaça,cm-alcobaca.pt,VERIFIED,cm- in domain (auto-pass),
Alcochete,cm-alcochete.pt,VERIFIED,cm- in domain (auto-pass),
Alcoutim,cm-alcoutim.pt,VERIFIED,cm- in domain (auto-pass),
Alenquer,cm-alenquer.pt,VERIFIED,cm- in domain (auto-pass),
Alijó,cm-alijo.pt,VERIFIED,cm- in domain (auto-pass),
Aljezur,cm-aljezur.pt,VERIFIED,cm- in domain (auto-pass),
Almada,cm-almada.pt,VERIFIED,cm- in domain (auto-pass),
Almeida,cm-almeida.pt,VERIFIED,cm- in domain (auto-pass),
Almeirim,cm-almeirim.pt,VERIFIED,cm- in domain (auto-pass),
Almodôvar,cm-almodovar.pt,VERIFIED,cm- in domain (auto-pass),
Alpiarça,cm-alpiarca.pt,VERIFIED,cm- in domain (auto-pass),
Alvaiázere,cm-alvaiazere.pt,VERIFIED,cm- in domain (auto-pass),
Alvito,cm-alvito.pt,VERIFIED,cm- in domain (auto-pass),
Amadora,cm-amadora.pt,VERIFIED,cm- in domain (auto-pass),
Amarante,cm-amarante.pt,VERIFIED,cm- in domain (auto-pass),
Amares,cm-amares.pt,VERIFIED,cm- in domain (auto-pass),
Anadia,cm-anadia.pt,VERIFIED,cm- in domain (auto-pass),
Ansião,cm-ansiao.pt,VERIFIED,cm- in domain (auto-pass),
Arganil,cm-arganil.pt,VERIFIED,cm- in domain (auto-pass),
Armamar,cm-armamar.pt,VERIFIED,cm- in domain (auto-pass),
Arouca,cm-arouca.pt,VERIFIED,cm- in domain (auto-pass),
Arraiolos,cm-arraiolos.pt,VERIFIED,cm- in domain (auto-pass),
Arronches,cm-arronches.pt,VERIFIED,cm- in domain (auto-pass),
