municipality_id,municipality_name,domain,tier_public_label,checkpoint_cdx_record_count,checkpoint_valid_capture_count,model_total_arquivo_captures,capture_count_imputed,imputation_note,first_capture_timestamp,last_capture_timestamp,first_capture_year,last_capture_year,active_years_count,unique_digest_count,status_200_count,status_3xx_count,status_4xx_count,status_5xx_count,mime_html_count,mime_pdf_count,mime_image_count,checkpoint_capture_source,model_capture_source,capture_density,digital_decay_rate,digital_decay_rate_source,digital_decay_rate_formula_status,risk_score,evidence_quality_flag
MUN_EB643940,Abrantes,cm-abrantes.pt,Tier 4 — Risco Crítico,5000,4596,1000.0,no,raw value used directly,19981206142852,20250101005422,1998,2025,27,2832,4014,675,310,0,4941,0,58,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0290993743635,16.4774,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,58.1,ok
MUN_9C4B0969,Águeda,cm-agueda.pt,Tier 2 — Estagnação,5000,2642,628.0,yes,fase2 raw=0; model used median imputed value=628,20020220121651,20240929234726,2002,2024,23,2284,2375,267,2346,12,4863,0,40,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0135292343487,14.1663,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,2.6,imputed
MUN_4CA1AB3F,Aguiar da Beira,cm-aguiardabeira.pt,Tier 4 — Risco Crítico,5000,4720,754.0,no,raw value used directly,20020926230235,20241231205134,2002,2024,22,4563,4647,80,46,225,2785,0,97,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.141410352588,16.6811,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,54.0,ok
MUN_B4BC8C24,Alandroal,cm-alandroal.pt,Tier 4 — Risco Crítico,5000,4615,628.0,yes,fase2 raw=0; model used median imputed value=628,20011119012648,20240611044536,2001,2024,22,712,791,3824,331,51,4976,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.124751688518,19.8234,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,94.3,imputed
MUN_C5D214D6,Albergaria-a-Velha,cm-albergaria.pt,Tier 3 — Risco de Fuga,5000,4507,767.0,no,raw value used directly,20001101202937,20251117123738,2000,2025,26,1642,3942,565,417,4,2362,1224,1231,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0305589864138,17.0086,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.9,ok
MUN_95D743E0,Albufeira,cm-albufeira.pt,Tier 1 — Resiliência,5000,2831,628.0,yes,fase2 raw=0; model used median imputed value=628,19991023095128,20241231193628,1999,2024,26,4615,2514,317,2159,6,4950,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0140977865577,9.8841,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.6,imputed
MUN_A5EC4C7A,Alcácer do Sal,cm-alcacerdosal.pt,Tier 4 — Risco Crítico,5000,4567,129.0,no,raw value used directly,20080116224647,20241119214915,2008,2024,17,2639,3964,603,289,34,1079,0,3138,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.011537429568,26.547,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,79.2,ok
MUN_A7D2BA59,Alcanena,cm-alcanena.pt,Tier 2 — Estagnação,5000,4826,125.0,no,raw value used directly,20030324150014,20240929234732,2003,2024,21,1363,4683,161,146,10,2961,408,1358,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.00995381430164,26.2912,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,17.3,ok
MUN_EA058F25,Alcobaça,cm-alcobaca.pt,Tier 1 — Resiliência,5000,4290,168.0,no,raw value used directly,20051107094253,20251215123722,2005,2025,21,2143,3688,606,697,2,3125,0,1113,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.00302642719461,23.4698,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.5,ok
MUN_F452B8B9,Alcochete,cm-alcochete.pt,Tier 1 — Resiliência,5000,4177,945.0,no,raw value used directly,20000507125830,20251117123620,2000,2025,26,1204,4094,83,592,211,1953,0,2064,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0487741935484,15.4783,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.4,ok
