municipality_id,municipality_name,domain,raw_total_arquivo_captures,model_total_arquivo_captures,capture_count_imputed,capture_density,capture_density_formula,digital_decay_rate,digital_decay_rate_source,digital_decay_rate_formula_status,total_arquivo_captures_enters_model,capture_density_enters_model,digital_decay_rate_enters_model,tier_public_label,notes
MUN_EB643940,Abrantes,cm-abrantes.pt,1000,1000.0,no,0.0290993743635,Total_Arquivo_Captures / Pop. 2021,16.4774,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_9C4B0969,Águeda,cm-agueda.pt,0,628.0,yes,0.0135292343487,Total_Arquivo_Captures / Pop. 2021,14.1663,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,Capture count imputed with median value.
MUN_4CA1AB3F,Aguiar da Beira,cm-aguiardabeira.pt,754,754.0,no,0.141410352588,Total_Arquivo_Captures / Pop. 2021,16.6811,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_B4BC8C24,Alandroal,cm-alandroal.pt,0,628.0,yes,0.124751688518,Total_Arquivo_Captures / Pop. 2021,19.8234,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_C5D214D6,Albergaria-a-Velha,cm-albergaria.pt,767,767.0,no,0.0305589864138,Total_Arquivo_Captures / Pop. 2021,17.0086,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_95D743E0,Albufeira,cm-albufeira.pt,0,628.0,yes,0.0140977865577,Total_Arquivo_Captures / Pop. 2021,9.8841,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,Capture count imputed with median value.
MUN_A5EC4C7A,Alcácer do Sal,cm-alcacerdosal.pt,129,129.0,no,0.011537429568,Total_Arquivo_Captures / Pop. 2021,26.547,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_A7D2BA59,Alcanena,cm-alcanena.pt,125,125.0,no,0.00995381430164,Total_Arquivo_Captures / Pop. 2021,26.2912,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_EA058F25,Alcobaça,cm-alcobaca.pt,168,168.0,no,0.00302642719461,Total_Arquivo_Captures / Pop. 2021,23.4698,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,ok
MUN_F452B8B9,Alcochete,cm-alcochete.pt,945,945.0,no,0.0487741935484,Total_Arquivo_Captures / Pop. 2021,15.4783,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,ok
