Município,captures_2013_2018,captures_2019_2024,capture_trend,last_capture_year,years_since_last_capture
Abrantes,120,1138,1018,2024,1
Águeda,230,1274,1044,2024,1
Alandroal,15,969,954,2024,1
Albufeira,352,2034,1682,2024,1
Alcanena,51,106,55,2024,1
Alcobaça,25,195,170,2024,1
Alcochete,251,752,501,2024,1
Alcoutim,37,1143,1106,2024,1
Alenquer,35,813,778,2024,1
Alijó,60,793,733,2024,1
Aljezur,24,261,237,2024,1
Almada,8,556,548,2024,1
Almeida,20,887,867,2024,1
Almeirim,285,1235,950,2024,1
Almodôvar,67,718,651,2024,1
Alpiarça,63,990,927,2024,1
Alvaiázere,381,1911,1530,2024,1
Alvito,31,317,286,2024,1
Amadora,295,1626,1331,2024,1
Amarante,609,2747,2138,2024,1
Amares,40,192,152,2024,1
Anadia,228,1342,1114,2024,1
Ansião,33,1668,1635,2024,1
Arganil,144,485,341,2024,1
Armamar,54,1759,1705,2024,1
Arouca,17,704,687,2024,1
Arraiolos,51,1083,1032,2024,1
Arronches,28,757,729,2024,1
Aveiro,155,1909,1754,2024,1
Avis,47,373,326,2024,1
Azambuja,62,1371,1309,2024,1
Baião,860,1336,476,2024,1
Barcelos,100,1876,1776,2024,1
Barrancos,38,423,385,2024,1
Barreiro,1003,869,-134,2024,1
Batalha,9,291,282,2024,1
Beja,29,377,348,2024,1
Belmonte,268,487,219,2024,1
Benavente,53,1057,1004,2024,1
Bombarral,71,731,660,2024,1
Borba,15,794,779,2024,1
Boticas,46,650,604,2024,1
Braga,31,478,447,2024,1
Bragança,172,600,428,2024,1
Cadaval,38,709,671,2024,1
Caminha,86,1503,1417,2024,1
Campo Maior,29,286,257,2024,1
Cantanhede,40,180,140,2024,1
Cartaxo,69,358,289,2024,1
Cascais,81,455,374,2024,1
Chamusca,185,1896,1711,2024,1
Chaves,0,34,34,2024,1
Cinfães,338,2012,1674,2024,1
Coimbra,353,1220,867,2024,1
Constância,175,1938,1763,2024,1
Coruche,147,1822,1675,2024,1
Corvo,32,84,52,2024,1
Covilhã,86,324,238,2024,1
Crato,33,206,173,2024,1
Cuba,43,853,810,2024,1
Elvas,38,615,577,2024,1
Entroncamento,91,1361,1270,2024,1
Espinho,13,45,32,2024,1
Esposende,12,149,137,2024,1
Estarreja,69,1195,1126,2024,1
Estremoz,130,1201,1071,2024,1
Évora,176,1193,1017,2024,1
Fafe,71,1500,1429,2024,1
Faro,68,372,304,2024,1
Felgueiras,206,997,791,2024,1
Fronteira,29,138,109,2024,1
Funchal,42,165,123,2024,1
Fundão,1742,1759,17,2024,1
Gavião,37,211,174,2024,1
Góis,22,1370,1348,2024,1
Golegã,191,1309,1118,2024,1
Gondomar,56,949,893,2024,1
Gouveia,23,328,305,2024,1
Grândola,580,1505,925,2024,1
Guimarães,510,2149,1639,2024,1
Ílhavo,269,1999,1730,2024,1
Lagoa,65,1199,1134,2024,1
Lagos,196,2628,2432,2024,1
Lamego,76,1908,1832,2024,1
Leiria,208,1948,1740,2024,1
Lisboa,1298,511,-787,2024,1
Loulé,70,279,209,2024,1
Loures,2160,2631,471,2024,1
Lourinhã,69,1081,1012,2024,1
Lousã,50,313,263,2024,1
Lousada,218,1321,1103,2024,1
Mação,99,1096,997,2024,1
Machico,48,897,849,2024,1
Madalena,72,882,810,2024,1
Mafra,378,2172,1794,2024,1
Maia,84,1403,1319,2024,1
Manteigas,43,208,165,2024,1
Marvão,41,259,218,2024,1
Matosinhos,285,2092,1807,2024,1
Mealhada,121,1751,1630,2024,1
Mêda,38,770,732,2024,1
Melgaço,207,1432,1225,2024,1
Mértola,77,1823,1746,2024,1
Mira,29,1873,1844,2024,1
Mirandela,38,1302,1264,2024,1
Mogadouro,22,35,13,2024,1
Moita,959,1416,457,2024,1
Monção,29,181,152,2024,1
Monchique,29,262,233,2024,1
Monforte,28,162,134,2024,1
Montalegre,416,1772,1356,2024,1
Mora,15,240,225,2024,1
Mortágua,28,820,792,2024,1
Moura,23,951,928,2024,1
Mourão,15,1084,1069,2024,1
Murça,64,940,876,2024,1
Murtosa,58,936,878,2024,1
Nazaré,29,180,151,2024,1
Nelas,321,1305,984,2024,1
Nisa,57,1048,991,2024,1
Nordeste,14,24,10,2024,1
Óbidos,40,1043,1003,2024,1
Odemira,444,2400,1956,2024,1
Odivelas,334,2044,1710,2024,1
Oeiras,136,180,44,2024,1
Oleiros,1808,1086,-722,2024,1
Olhão,48,923,875,2024,1
Ourém,148,47,-101,2024,1
Ourique,26,161,135,2023,2
Ovar,28,242,214,2024,1
Palmela,438,795,357,2024,1
Paredes,265,1495,1230,2024,1
Penacova,66,1233,1167,2024,1
Penafiel,281,818,537,2024,1
Penamacor,263,1088,825,2024,1
Penedono,29,550,521,2024,1
Penela,54,1955,1901,2024,1
Peniche,129,1411,1282,2024,1
Pinhel,49,270,221,2024,1
Pombal,68,939,871,2024,1
Portalegre,43,434,391,2024,1
Portel,28,289,261,2024,1
Portimão,203,3071,2868,2024,1
Porto,333,2186,1853,2024,1
Povoação,33,846,813,2024,1
Redondo,18,607,589,2024,1
Resende,63,704,641,2024,1
Sabrosa,25,48,23,2024,1
Sabugal,66,1208,1142,2024,1
Santarém,126,1861,1735,2024,1
Santiago do Cacém,0,40,40,2024,1
Sardoal,139,1865,1726,2024,1
Sátão,43,329,286,2024,1
Seia,159,2424,2265,2024,1
Seixal,273,2077,1804,2024,1
Sernancelhe,21,308,287,2024,1
Serpa,55,301,246,2024,1
Sertã,2521,2289,-232,2024,1
Sesimbra,173,148,-25,2024,1
Setúbal,0,4,4,2023,2
Silves,32,282,250,2024,1
Sines,104,39,-65,2024,1
Sintra,351,1574,1223,2024,1
Soure,39,450,411,2024,1
Sousel,37,148,111,2024,1
