Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score,municipio,site_mortality_rate,unique_domains,capture_acceleration,last_capture_gap_days
Abrantes,-12.24,95.4857,1000.0,Dead,TIER 4 - Profecia CASSANDRA,58.1,abrantes,0.062,2.0,0.1905311778290993,488.0
Águeda,-2.83,96.1188,628.0,200,TIER 2 - Estagnação,2.6,agueda,0.4716,2.0,0.2036431574030826,582.0
Alandroal,-13.39,94.5689,628.0,Dead,TIER 4 - Profecia CASSANDRA,94.3,alandroal,0.0764,2.0,0.0153071922834975,692.0
Albufeira,8.69,97.292,628.0,Dead,TIER 1 - Resiliência,0.6,albufeira,0.433,2.0,0.8435599778883361,489.0
Alcanena,-9.09,92.7969,125.0,200,TIER 2 - Estagnação,17.3,alcanena,0.0312,2.0,1.4541484716157205,582.0
Alcobaça,-2.33,93.5699,168.0,200,TIER 1 - Resiliência,0.5,alcobaca,0.1398,2.0,1.508860759493671,140.0
Alcochete,9.52,95.7594,945.0,Dead,TIER 1 - Resiliência,1.4,alcochete,0.1606,2.0,0.0197594501718213,168.0
Alcoutim,-13.25,94.9915,628.0,200,TIER 4 - Profecia CASSANDRA,81.3,alcoutim,0.3462,2.0,1.576536312849162,767.0
Alenquer,4.43,95.266,628.0,200,TIER 1 - Resiliência,0.4,alenquer,0.004,2.0,0.008813160987074,1014.0
Alijó,-11.1,95.0447,628.0,200,TIER 4 - Profecia CASSANDRA,71.5,alijo,0.1634,2.0,0.1540636042402826,256.0
Aljezur,5.39,94.8601,628.0,200,TIER 1 - Resiliência,1.7,aljezur,0.0106,2.0,0.1225490196078431,2249.0
Almada,1.89,93.736,628.0,403,TIER 1 - Resiliência,0.2,almada,0.7698,2.0,0.4440875912408759,363.0
Almeida,-19.9,95.1886,628.0,200,TIER 4 - Profecia CASSANDRA,93.1,almeida,0.6972,2.0,0.0843621399176954,582.0
Almeirim,-5.03,95.7998,628.0,Dead,TIER 1 - Resiliência,1.3,almeirim,0.6008,2.0,0.0875,556.0
Almodôvar,-9.48,95.2968,628.0,200,TIER 4 - Profecia CASSANDRA,60.5,almodovar,0.3346,2.0,0.2192846034214619,599.0
Alpiarça,-8.6,95.3445,628.0,503,TIER 3 - Risco de Fuga,10.1,alpiarca,0.2238,2.0,0.6703786191536748,507.0
