municipio,site_mortality_rate,unique_domains,capture_acceleration,last_capture_gap_days
abrantes,0.062,2.0,0.1905311778290993,488.0
agueda,0.4716,2.0,0.20364315740308267,582.0
aguiar da beira,0.0542,2.0,0.677734375,489.0
alandroal,0.0764,2.0,0.015307192283497589,692.0
albergaria-a-velha,0.0842,2.0,0.15566037735849056,168.0
albufeira,0.433,2.0,0.8435599778883361,489.0
alcacer do sal,0.0646,2.0,0.015426997245179064,864.0
alcanena,0.0312,2.0,1.4541484716157205,582.0
alcobaca,0.1398,2.0,1.508860759493671,140.0
alcochete,0.1606,2.0,0.019759450171821305,168.0
alcoutim,0.3462,2.0,1.576536312849162,767.0
alenquer,0.004,2.0,0.00881316098707403,1014.0
alfandega da fe,0.6764,2.0,0.162826899128269,829.0
alijo,0.1634,2.0,0.15406360424028268,256.0
aljezur,0.0106,2.0,0.12254901960784313,2249.0
aljustrel,0.2592,2.0,0.49204771371769385,767.0
almada,0.7698,2.0,0.44408759124087593,363.0
almeida,0.6972,2.0,0.08436213991769548,582.0
almeirim,0.6008,2.0,0.0875,556.0
almodovar,0.3346,2.0,0.2192846034214619,599.0
alpiarca,0.2238,2.0,0.6703786191536748,507.0
alter do chao,0.3964,2.0,0.20570264765784113,581.0
alvaiazere,0.0812,2.0,0.2041733547351525,543.0
alvito,0.0062,2.0,0.19639934533551553,827.0
amadora,0.2484,2.0,0.015444015444015444,1154.0
amarante,0.018,3.0,0.234955185659411,457.0
amares,0.0104,2.0,0.3148148148148148,2069.0
anadia,0.2848,2.0,0.12348401323042998,582.0
angra do heroismo,0.288,2.0,0.04105029585798817,1008.0
ansiao,0.0246,2.0,0.521015761821366,489.0
arcos de valdevez,0.238,2.0,0.3511586452762923,543.0
arganil,0.0712,2.0,1.5851063829787233,513.0
armamar,0.3218,2.0,0.3801571709233792,542.0
arouca,0.4666,2.0,1.4880681818181818,525.0
arraiolos,0.0748,2.0,0.06611570247933884,692.0
arronches,0.1306,2.0,0.4791026429010449,766.0
arruda dos vinhos,0.0424,2.0,0.16422287390029325,195.0
aveiro,0.0186,3.0,0.5736151603498543,489.0
avis,0.5056,3.0,0.4744687599111957,619.0
azambuja,0.185,2.0,0.07363420427553444,553.0
baiao,0.3226,2.0,0.20123022847100175,691.0
barcelos,0.3178,3.0,0.2139917695473251,696.0
barrancos,0.0114,2.0,3.6628019323671497,780.0
barreiro,0.3208,2.0,1.670807453416149,49.0
batalha,0.0122,2.0,0.4652014652014652,507.0
beja,0.0468,2.0,0.18035190615835778,648.0
belmonte,0.0576,2.0,0.44638949671772427,582.0
benavente,0.2528,3.0,0.11067036890122967,166.0
bombarral,0.0336,2.0,0.18793503480278423,586.0
borba,0.0312,2.0,0.003940273745333886,671.0
boticas,0.0004,2.0,0.1980392156862745,140.0
braga,0.0022,1.0,0.13514479799785484,626.0
braganca,0.4096,1.0,0.15660847880299253,612.0
cabeceiras de basto,0.0102,2.0,0.22980326496442027,582.0
cadaval,0.0352,2.0,0.4,553.0
caldas da rainha,0.0854,2.0,0.775,165.0
calheta [r.a.a.],0.0438,2.0,0.326148969889065,771.0
calheta [r.a.m.],0.077,1.0,0.10723951285520975,462.0
camara de lobos,0.0412,2.0,0.1702857142857143,346.0
caminha,0.5062,2.0,0.17031193976335604,582.0
campo maior,0.0474,2.0,0.7061611374407583,489.0
cantanhede,0.1864,2.0,0.09717868338557993,164.0
carrazeda de ansiaes,0.7038,2.0,0.03633986928104575,924.0
carregal do sal,0.0132,2.0,0.13997113997113997,543.0
cartaxo,0.1166,2.0,2.0973201692524683,489.0
cascais,0.127,2.0,0.06303724928366762,2265.0
castanheira de pera,0.0296,2.0,1.6666666666666667,490.0
castelo branco,0.02,2.0,0.5289256198347108,488.0
castelo de paiva,0.0092,3.0,0.21153846153846154,255.0
castelo de vide,0.4566,2.0,0.3352272727272727,766.0
castro daire,0.1812,2.0,0.41392649903288203,259.0
castro marim,0.0656,2.0,0.268370607028754,2337.0
castro verde,0.1042,2.0,0.0854368932038835,780.0
celorico da beira,0.0434,2.0,7.142857142857143,582.0
celorico de basto,0.5,1.0,0.22321428571428573,580.5
chamusca,0.0886,2.0,0.37654090399701157,489.0
chaves,0.0008,2.0,0.17857142857142858,1177.0
cinfaes,0.3244,2.0,0.4084269662921348,489.0
coimbra,0.0224,2.0,0.23603082851637766,165.0
condeixa-a-nova,0.0156,2.0,0.2729096989966555,537.0
constancia,0.2378,2.0,0.2121342512908778,488.0
coruche,0.1174,2.0,0.530952380952381,505.0
corvo,0.1288,2.0,0.06609195402298851,912.0
covilha,0.0068,2.0,0.4053751399776036,526.0
crato,0.1712,2.0,0.9555236728837877,539.0
cuba,0.01,2.0,0.36082474226804123,584.0
elvas,0.4666,2.0,13.815436241610739,489.0
entroncamento,0.0736,2.0,0.28893550078657576,524.0
espinho,0.0258,2.0,0.37777777777777777,3736.0
esposende,0.2412,2.0,0.09255079006772009,930.0
estarreja,0.0114,2.0,0.22321428571428573,582.0
estremoz,0.0098,2.0,0.27739251040221913,168.0
evora,0.3928,5.0,0.11105304415991639,579.0
fafe,0.0088,2.0,0.04381161007667032,582.0
faro,0.132,2.0,0.3927253558249868,767.0
felgueiras,0.036,2.0,0.32424537487828625,583.0
ferreira do alentejo,0.1932,2.0,0.030303030303030304,1019.0
ferreira do zezere,0.047,2.0,0.0866902997099581,563.0
figueira da foz,0.2642,2.0,0.3740484429065744,555.0
figueira de castelo rodrigo,0.1836,2.0,0.042454650714010035,493.0
figueiro dos vinhos,0.0134,2.0,0.7127659574468085,489.0
fornos de algodres,0.1896,2.0,0.13958460598656078,578.0
freixo de espada a cinta,0.2384,2.0,0.17401079136690648,259.0
fronteira,0.0444,2.0,0.19078947368421054,1336.0
funchal,0.0372,3.0,0.08278145695364239,1656.0
fundao,0.1538,2.0,0.10436681222707424,488.0
gaviao,0.0644,2.0,0.18407960199004975,1771.0
gois,0.2754,2.0,0.935880829015544,543.0
golega,0.1424,2.0,0.14428739693757361,516.0
gondomar,0.025,2.0,2.307926829268293,558.0
gouveia,0.0466,2.0,2.984251968503937,550.0
grandola,0.1002,3.0,0.22652757078986588,522.0
guarda,0.3318,2.0,0.4648719632304662,457.0
guimaraes,0.1126,3.0,0.4535673839184598,164.0
horta,0.0246,2.0,0.2268326417704011,582.0
idanha-a-nova,0.1158,2.0,0.5708609271523178,115.0
ilhavo,0.3402,2.0,0.40166083916083917,489.0
lagoa,0.2004,2.0,1.7597323600973236,168.0
lagoa [r.a.a.],0.0252,2.0,0.08786610878661087,579.0
lagos,0.1082,2.0,0.6226655348047538,168.0
lajes das flores,0.2024,2.0,0.17860016090104586,640.0
lajes do pico,0.202,2.0,2.212605042016807,780.0
lamego,0.119,2.0,0.8091976516634051,543.0
leiria,0.2882,2.0,0.31988041853512705,543.0
lisboa,0.01,3.0,0.1434108527131783,2349.0
loule,0.1078,3.0,0.530791788856305,767.0
loures,0.0012,3.0,0.0,1103.0
lourinha,0.0644,2.0,0.5095588235294117,768.0
lousa,0.5752,2.0,0.01909039865244245,165.0
lousada,0.1018,2.0,0.1058974358974359,582.0
macao,0.1102,2.0,0.0773173857325929,586.0
macedo de cavaleiros,0.286,2.0,0.17550772961503486,582.0
machico,0.1628,2.0,0.12137330754352031,462.0
madalena,0.3652,2.0,0.8634294385432474,582.0
mafra,0.1258,2.0,0.25263157894736843,582.0
maia,0.644,2.0,0.3910806174957118,518.0
mangualde,0.216,2.0,0.2230769230769231,625.0
manteigas,0.2246,2.0,6.673611111111111,578.0
marco de canaveses,0.4028,2.0,0.4993103448275862,788.0
marinha grande,0.5676,2.0,0.1624289560275202,582.0
marvao,0.0288,2.0,0.4188365650969529,521.0
matosinhos,0.4162,2.0,0.47069513857337575,543.0
mealhada,0.11,2.0,0.5367483296213809,490.0
meda,0.0596,2.0,0.21345707656612528,581.0
melgaco,0.0002,2.0,0.8066630256690334,537.0
mertola,0.0736,2.0,1.2141357592722184,345.0
mesao frio,0.2166,2.0,0.10975609756097561,582.0
mira,0.2836,1.0,0.2521920668058455,575.0
miranda do corvo,0.0194,2.0,0.1438000942951438,779.0
miranda do douro,0.3248,2.0,0.090311986863711,924.0
mirandela,0.2432,2.0,0.06177606177606178,924.0
mogadouro,0.0084,2.0,0.2702702702702703,2338.0
moimenta da beira,0.6762,2.0,0.36,544.0
moita,0.2704,2.0,2.798804780876494,255.0
moncao,0.0362,2.0,0.11755233494363929,783.0
monchique,0.0814,2.0,0.3475609756097561,767.0
mondim de basto,0.30045351473922904,2.0,0.1686746987951807,2360.0
monforte,0.0258,2.0,0.05475504322766571,1713.0
montalegre,0.5374,2.0,0.5376712328767124,558.0
montemor-o-novo,0.1426,2.0,0.01826826826826827,579.0
montemor-o-velho,0.055,2.0,0.1632047477744807,488.0
montijo,0.21,2.0,0.03323262839879154,1371.0
mora,0.548,1.0,0.015996000999750064,637.0
mortagua,0.2502,2.0,2.8833049403747872,543.0
moura,0.4938,2.0,0.23946629213483145,530.0
mourao,0.2298,2.0,0.06610526315789474,671.0
murca,0.222,2.0,0.15641990798828942,582.0
murtosa,0.2132,2.0,0.16799292661361626,582.0
nazare,0.0668,2.0,0.5770171149144254,570.0
nelas,0.1056,2.0,0.5021256495040152,503.0
nisa,0.041,2.0,0.11003627569528417,516.0
nordeste,0.5562,2.0,0.21052631578947367,3224.0
obidos,0.0252,2.0,0.9220563847429519,582.0
odemira,0.4168,2.0,0.360313315926893,543.0
odivelas,0.2014,2.0,0.23836969946480033,542.0
oeiras,0.1686,2.0,0.025518341307814992,696.0
oleiros,0.1112,2.0,0.42150170648464164,581.0
olhao,0.1056,3.0,0.32097925875552535,775.0
oliveira de azemeis,0.052,2.0,0.15621788283658788,582.0
oliveira de frades,0.031,2.0,1.7976457399103138,498.0
oliveira do bairro,0.1934,2.0,0.1423573735199139,519.0
oliveira do hospital,0.1178,2.0,0.2716829408385985,567.0
ourem,0.1126,2.0,0.18421052631578946,2144.0
ourique,0.3516,2.0,0.026476578411405296,894.0
ovar,0.0534,2.0,0.08235294117647059,2176.0
pacos de ferreira,0.0526,1.0,0.09895833333333333,582.0
palmela,0.1846,2.0,0.12041884816753927,255.0
pampilhosa da serra,0.6166,2.0,0.21676761236850495,542.0
paredes,0.6204,2.0,0.2053543307086614,582.0
paredes de coura,0.028,2.0,0.1509433962264151,3736.0
pedrogao grande,0.2962,2.0,3.6365853658536587,489.0
penacova,0.1414,1.0,1.7226804123711341,489.0
penafiel,0.1492,3.0,0.8157248157248157,510.0
penalva do castelo,0.3588,2.0,0.6494082840236687,564.0
penamacor,0.1522,2.0,0.3322538860103627,582.0
penedono,0.2412,2.0,0.8732008224811515,532.0
penela,0.1936,2.0,1.0957446808510638,489.0
peniche,0.0882,2.0,0.547945205479452,542.0
peso da regua,0.042,4.0,0.6316526610644257,542.0
pinhel,0.085,2.0,0.2753623188405797,770.0
pombal,0.5586,2.0,0.11747572815533981,524.0
ponta delgada,0.2828,1.0,0.16666666666666666,543.0
ponta do sol,0.1222,2.0,0.25206611570247933,462.0
ponte da barca,0.13411170716314294,2.0,45.77272727272727,725.0
ponte de lima,0.2706,2.0,0.010393873085339168,1265.0
ponte de sor,0.413,2.0,1.2811466372657112,563.0
portalegre,0.5576,2.0,1.5814257684761281,489.0
portel,0.0422,2.0,0.14030131826741996,586.0
portimao,0.217,2.0,0.46263079222720477,488.0
porto,0.034,2.0,0.40591567023285086,489.0
porto de mos,0.0038,2.0,0.48172323759791125,259.0
porto moniz,0.050763605076360505,1.0,0.22321428571428573,4490.0
porto santo,0.0822,2.0,0.10648714810281518,462.0
povoa de lanhoso,0.05528950805398346,2.0,0.15384615384615385,780.0
povoa de varzim,0.167,2.0,0.3,489.0
povoacao,0.2218,2.0,0.09726224783861671,582.0
proenca-a-nova,0.0202,2.0,0.6582969432314411,586.0
redondo,0.1352,1.0,0.005477576172543649,621.0
reguengos de monsaraz,0.41,3.0,0.06272273699215966,693.0
resende,0.06,2.0,1.3286219081272084,516.0
ribeira brava,0.2078,3.0,0.10465116279069768,462.0
ribeira de pena,0.0156,2.0,0.31907671418873046,584.0
ribeira grande,0.29,2.0,0.627972027972028,811.0
rio maior,0.2346,2.0,0.07414993854977468,582.0
sabrosa,0.1004,2.0,0.1323529411764706,1816.0
sabugal,0.0076,2.0,0.2332686711930165,457.0
salvaterra de magos,0.3794,1.0,0.07187323146576118,508.0
santa comba dao,0.262,3.0,0.211311861743912,767.0
santa cruz,0.2532,2.0,0.19922254616132168,462.0
santa cruz da graciosa,0.109,2.0,3.2246777163904237,582.0
santa cruz das flores,0.2604,2.0,0.17066233238520925,582.0
santa maria da feira,0.6836,2.0,0.0648126325712939,582.0
santa marta de penaguiao,0.1186,2.0,0.12773722627737227,586.0
santana,0.0128,2.0,0.14145907473309607,352.0
santarem,0.0108,2.0,0.5352669742913645,571.0
santiago do cacem,0.0038,2.0,0.011747430249632892,1442.0
santo tirso,0.0092,2.0,0.07194994786235662,582.0
sao bras de alportel,0.0726,2.0,0.4289871944121071,767.0
sao joao da madeira,0.0032,2.0,0.13134851138353765,489.0
sao joao da pesqueira,0.1092,2.0,0.15384615384615385,3186.0
sao pedro do sul,0.2842,2.0,0.27754415475189237,493.0
sao roque do pico,0.0112,2.0,0.27431806484817295,490.0
sao vicente,0.067,2.0,0.0679886685552408,462.0
sardoal,0.207,2.0,0.6785508913168488,168.0
satao,0.3746,2.0,27.00793650793651,543.0
seia,0.027,2.0,0.369950389794472,490.0
seixal,0.1114,5.0,0.33634992458521873,521.0
sernancelhe,0.1298,2.0,0.07547169811320754,1271.0
serpa,0.1358,2.0,0.2707509881422925,766.0
serta,0.0018,2.0,0.1373015873015873,903.0
sesimbra,0.1178,2.0,0.12295081967213115,2500.0
setubal,1.0,2.0,0.22321428571428573,580.5
sever do vouga,0.798,2.0,0.22664872139973083,584.0
silves,0.0056,2.0,0.24589636305117477,767.0
sines,0.0652,2.0,0.16071428571428573,1102.0
sintra,0.1778,3.0,0.5736040609137056,488.0
sobral de monte agraco,0.7746,2.0,0.267515923566879,582.0
soure,0.0544,2.0,0.18757662443808745,581.0
sousel,0.037,2.0,0.17094017094017094,259.0
tabua,0.1468,2.0,0.05639097744360902,1323.0
tabuaco,0.264,2.0,0.7863408521303258,490.0
tarouca,0.0728,2.0,0.10584192439862543,518.0
tavira,0.091,2.0,0.8971631205673759,831.0
terras de bouro,0.0522,2.0,0.28955223880597014,582.0
tomar,0.15,2.0,0.24699352451433856,440.0
tondela,0.1168,2.0,1.130801687763713,259.0
torre de moncorvo,0.1398,2.0,0.22535211267605634,722.0
torres novas,0.0502,2.0,0.22007168458781362,534.0
torres vedras,0.037,3.0,0.27170582226762,520.0
trancoso,0.0574,2.0,0.9439834024896265,541.0
trofa,0.008,2.0,0.4488162720906969,779.0
vagos,0.771,2.0,0.24109748978400466,582.0
vale de cambra,0.327,2.0,0.18999437886453063,688.0
valenca,0.073,2.0,0.7757296466973886,530.0
valongo,0.5326,2.0,0.08627593738623954,542.0
valpacos,0.12522796352583587,2.0,0.19230769230769232,1565.0
velas,0.1026,2.0,0.2032520325203252,785.0
vendas novas,0.6868,1.0,0.03403361344537815,580.0
viana do alentejo,0.0928,2.0,0.006723283793347488,692.0
viana do castelo,0.4864,2.0,0.30895452414439756,489.0
vidigueira,0.2336,2.0,0.12490761271249076,582.0
vieira do minho,0.0208,2.0,0.10597826086956522,637.0
vila da praia da vitoria,0.2214,2.0,0.10244161358811041,489.0
vila de rei,0.0332,2.0,0.40581717451523547,488.0
vila do bispo,0.03,2.0,0.30420105026256566,767.0
vila do conde,0.5546,2.0,0.493940660259089,582.0
vila do porto,0.1916,2.0,0.07473309608540925,635.0
vila flor,0.8068,2.0,0.08039936941671046,924.0
vila franca de xira,0.4922,4.0,0.21775976418570375,488.0
vila franca do campo,0.1262,2.0,0.38307794803464357,491.0
vila nova da barquinha,0.1578,2.0,0.20563230605738575,490.0
vila nova de cerveira,0.566,2.0,0.19610432485968968,515.0
vila nova de famalicao,0.0596,2.0,0.010365251727541954,1353.0
vila nova de foz coa,0.0408,2.0,3.402684563758389,582.0
vila nova de gaia,0.1346,2.0,0.3822975517890772,537.0
vila nova de paiva,0.1212,2.0,1.183560262228946,489.0
vila nova de poiares,0.0102,2.0,0.3017573939134162,542.0
vila pouca de aguiar,0.013,2.0,0.2087912087912088,582.0
vila real,0.043,2.0,0.18318523581681476,488.0
vila real de santo antonio,0.0156,2.0,0.27416798732171155,766.0
vila velha de rodao,0.0314,2.0,0.0970724191063174,584.0
vila verde,0.1818,2.0,0.013333333333333334,1335.0
vila vicosa,0.1088,2.0,0.04955444468593784,692.0
vimioso,0.665,2.0,0.15609756097560976,780.0
vinhais,0.4338,2.0,0.05876180482686254,924.0
viseu,0.0644,2.0,0.02096177558569667,1945.0
vizela,0.0184,2.0,0.10416666666666667,1335.0
vouzela,0.11,2.0,0.8977480219111381,490.0
