[001] Abrantes                         → cm-abrantes.pt
[002] Aguiar da Beira                  → cm-aguiardabeira.pt
[003] Alandroal                        → cm-alandroal.pt
[004] Albergaria-a-Velha               → albergaria-a-velha.pt
[005] Albufeira                        → cm-albufeira.pt
[006] Alcanena                         → cm-alcanena.pt
[007] Alcobaça                         → cm-alcobaca.pt
[008] Alcochete                        → cm-alcochete.pt
[009] Alcoutim                         → cm-alcoutim.pt
[010] Alcácer do Sal                   → cm-alcacerdosal.pt
[011] Alenquer                         → cm-alenquer.pt
[012] Alfândega da Fé                  → cm-alfandegadafe.pt
[013] Alijó                            → cm-alijo.pt
[014] Aljezur                          → cm-aljezur.pt
[015] Aljustrel                        → mun-aljustrel.pt
[016] Almada                           → cm-almada.pt
[017] Almeida                          → cm-almeida.pt
[018] Almeirim                         → cm-almeirim.pt
[019] Almodôvar                        → cm-almodovar.pt
[020] Alpiarça                         → cm-alpiarca.pt
[021] Alter do Chão                    → cm-alter-chao.pt
[022] Alvaiázere                       → cm-alvaiazere.pt
[023] Alvito                           → cm-alvito.pt
[024] Amadora                          → cm-amadora.pt
[025] Amarante                         → cm-amarante.pt
[026] Amares                           → cm-amares.pt
[027] Anadia                           → cm-anadia.pt
[028] Angra do Heroísmo                → angradoheroismo.pt
[029] Ansião                           → cm-ansiao.pt
[030] Arcos de Valdevez                → arcosdevaldevez.pt
[031] Arganil                          → cm-arganil.pt
[032] Armamar                          → cm-armamar.pt
[033] Arouca                           → cm-arouca.pt
[034] Arraiolos                        → cm-arraiolos.pt
[035] Arronches                        → cm-arronches.pt
[036] Arruda dos Vinhos                → cm-arruda.pt
[037] Aveiro                           → cm-aveiro.pt
[038] Avis                             → cm-avis.pt
[039] Azambuja                         → cm-azambuja.pt
[040] Baião                            → cm-baiao.pt
[041] Barcelos                         → cm-barcelos.pt
[042] Barrancos                        → cm-barrancos.pt
[043] Barreiro                         → cm-barreiro.pt
[044] Batalha                          → cm-batalha.pt
[045] Beja                             → cm-beja.pt
[046] Belmonte                         → cm-belmonte.pt
[047] Benavente                        → cm-benavente.pt
[048] Bombarral                        → cm-bombarral.pt
[049] Borba                            → cm-borba.pt
[050] Boticas                          → cm-boticas.pt
[051] Braga                            → cm-braga.pt
[052] Bragança                         → cm-braganca.pt
[053] Cabeceiras de Basto              → cabeceirasdebasto.pt
[054] Cadaval                          → cm-cadaval.pt
[055] Caldas da Rainha                 → caldasdarainha.pt
[056] Calheta [R.A.A.]                 → cm-calheta.pt
[057] Calheta [R.A.M.]                 → cmcalheta.pt
[058] Caminha                          → cm-caminha.pt
[059] Campo Maior                      → cm-campo-maior.pt
[060] Cantanhede                       → cm-cantanhede.pt
[061] Carrazeda de Ansiães             → cm-carrazedadeansiaes.pt
[062] Carregal do Sal                  → cm-carregal.pt
[063] Cartaxo                          → cm-cartaxo.pt
[064] Cascais                          → cm-cascais.pt
[065] Castanheira de Pêra              → castanheiradepera.pt
[066] Castelo Branco                   → cm-castelobranco.pt
[067] Castelo de Paiva                 → cm-castelo-paiva.pt
[068] Castelo de Vide                  → cm-castelo-vide.pt
[069] Castro Daire                     → cm-castrodaire.pt
[070] Castro Marim                     → cm-castromarim.pt
[071] Castro Verde                     → cm-castroverde.pt
[072] Celorico da Beira                → cm-celoricodabeira.pt
[073] Celorico de Basto                → cm-celoricodebasto.pt
[074] Chamusca                         → cm-chamusca.pt
[075] Chaves                           → cm-chaves.pt
[076] Cinfães                          → cm-cinfaes.pt
[077] Coimbra                          → cm-coimbra.pt
[078] Condeixa-a-Nova                  → cm-condeixa.pt
[079] Constância                       → cm-constancia.pt
[080] Coruche                          → cm-coruche.pt
[081] Corvo                            → cm-corvo.pt
[082] Covilhã                          → cm-covilha.pt
[083] Crato                            → cm-crato.pt
[084] Cuba                             → cm-cuba.pt
[085] Câmara de Lobos                  → cm-camaradelobos.pt
[086] Elvas                            → cm-elvas.pt
[087] Entroncamento                    → cm-entroncamento.pt
[088] Espinho                          → cm-espinho.pt
[089] Esposende                        → cm-esposende.pt
[090] Estarreja                        → cm-estarreja.pt
[091] Estremoz                         → cm-estremoz.pt
[092] Fafe                             → cm-fafe.pt
[093] Faro                             → cm-faro.pt
[094] Felgueiras                       → cm-felgueiras.pt
[095] Ferreira do Alentejo             → ferreiradoalentejo.pt
[096] Ferreira do Zêzere               → cm-ferreiradozezere.pt
[097] Figueira da Foz                  → cm-figfoz.pt
[098] Figueira de Castelo Rodrigo      → cm-fcr.pt
[099] Figueiró dos Vinhos              → cm-figueirodosvinhos.pt
[100] Fornos de Algodres               → cm-fornosdealgodres.pt
[101] Freixo de Espada à Cinta         → cm-freixoespadacinta.pt
[102] Fronteira                        → cm-fronteira.pt
[103] Funchal                          → cm-funchal.pt
[104] Fundão                           → cm-fundao.pt
[105] Gavião                           → cm-gaviao.pt
[106] Golegã                           → cm-golega.pt
