Município,Domain,Live_StatusCode,Total_Arquivo_Captures
Abrantes,cm-abrantes.pt,Dead,1000
Águeda,cm-agueda.pt,200,0
Alandroal,cm-alandroal.pt,Dead,0
Albufeira,cm-albufeira.pt,Dead,0
Alcanena,cm-alcanena.pt,200,125
Alcobaça,cm-alcobaca.pt,200,168
Alcochete,cm-alcochete.pt,Dead,945
Alcoutim,cm-alcoutim.pt,200,0
Alenquer,cm-alenquer.pt,200,0
Alijó,cm-alijo.pt,200,0
Aljezur,cm-aljezur.pt,200,0
Almada,cm-almada.pt,403,0
Almeida,cm-almeida.pt,200,0
Almeirim,cm-almeirim.pt,Dead,0
Almodôvar,cm-almodovar.pt,200,0
Alpiarça,cm-alpiarca.pt,503,0
Alvaiázere,cm-alvaiazere.pt,200,0
Alvito,cm-alvito.pt,200,0
Amadora,cm-amadora.pt,Dead,0
Amarante,cm-amarante.pt,200,0
Amares,cm-amares.pt,200,0
Anadia,cm-anadia.pt,200,1237
Ansião,cm-ansiao.pt,200,902
Arganil,cm-arganil.pt,200,271
Armamar,cm-armamar.pt,200,782
Arouca,cm-arouca.pt,200,345
Arraiolos,cm-arraiolos.pt,Dead,505
Arronches,cm-arronches.pt,200,0
Aveiro,cm-aveiro.pt,Dead,0
Avis,cm-avis.pt,200,0
Azambuja,cm-azambuja.pt,503,0
Baião,cm-baiao.pt,200,0
Barcelos,cm-barcelos.pt,200,1532
Barrancos,cm-barrancos.pt,200,282
Barreiro,cm-barreiro.pt,200,1776
Batalha,cm-batalha.pt,200,192
Beja,cm-beja.pt,200,325
Belmonte,cm-belmonte.pt,200,529
Benavente,cm-benavente.pt,200,866
Bombarral,cm-bombarral.pt,200,647
Borba,cm-borba.pt,Dead,395
Boticas,cm-boticas.pt,200,522
Braga,cm-braga.pt,200,428
Bragança,cm-braganca.pt,Dead,697
Cadaval,cm-cadaval.pt,200,646
Caminha,cm-caminha.pt,200,1097
Campo Maior,cm-campo-maior.pt,200,208
Cantanhede,cm-cantanhede.pt,200,167
Cartaxo,cm-cartaxo.pt,503,241
Cascais,cm-cascais.pt,Timeout,476
Chamusca,cm-chamusca.pt,400,1312
Chaves,cm-chaves.pt,Dead,20
Cinfães,cm-cinfaes.pt,200,1292
Coimbra,cm-coimbra.pt,200,1136
Constância,cm-constancia.pt,200,1344
Coruche,cm-coruche.pt,503,1246
Corvo,cm-corvo.pt,200,93
Covilhã,cm-covilha.pt,200,319
Crato,cm-crato.pt,200,191
Cuba,cm-cuba.pt,200,505
Elvas,cm-elvas.pt,200,266
Entroncamento,cm-entroncamento.pt,200,1047
Espinho,cm-espinho.pt,Timeout,40
Esposende,cm-esposende.pt,Dead,115
Estarreja,cm-estarreja.pt,200,940
Estremoz,cm-estremoz.pt,404,823
Évora,cm-evora.pt,200,664
Fafe,cm-fafe.pt,200,1283
Faro,cm-faro.pt,200,396
Felgueiras,cm-felgueiras.pt,200,0
Fronteira,cm-fronteira.pt,200,0
Funchal,cm-funchal.pt,200,0
Fundão,cm-fundao.pt,200,0
Gavião,cm-gaviao.pt,200,0
Góis,cm-gois.pt,200,0
Golegã,cm-golega.pt,503,0
Gondomar,cm-gondomar.pt,200,0
Gouveia,cm-gouveia.pt,200,0
Grândola,cm-grandola.pt,200,0
Guimarães,cm-guimaraes.pt,Dead,0
Ílhavo,cm-ilhavo.pt,200,0
Lagoa,cm-lagoa.pt,200,0
Lagos,cm-lagos.pt,200,0
Lamego,cm-lamego.pt,200,0
Leiria,cm-leiria.pt,200,0
Lisboa,cm-lisboa.pt,Dead,0
Loulé,cm-loule.pt,200,0
Loures,cm-loures.pt,200,0
Lourinhã,cm-lourinha.pt,200,0
Lousã,cm-lousa.pt,200,0
Lousada,cm-lousada.pt,200,0
Mação,cm-macao.pt,200,0
Machico,cm-machico.pt,Dead,0
Madalena,cm-madalena.pt,200,0
Mafra,cm-mafra.pt,Dead,0
Maia,cm-maia.pt,200,0
Manteigas,cm-manteigas.pt,200,171
Marvão,cm-marvao.pt,200,175
Matosinhos,cm-matosinhos.pt,200,1726
Mealhada,cm-mealhada.pt,200,1041
Mêda,cm-meda.pt,200,432
Melgaço,cm-melgaco.pt,200,1052
Mértola,cm-mertola.pt,200,999
Mira,cm-mira.pt,Dead,1027
Mirandela,cm-mirandela.pt,200,938
Mogadouro,cm-mogadouro.pt,200,43
Moita,cm-moita.pt,200,1744
