Município,Domain
Abrantes,cm-abrantes.pt
Águeda,cm-agueda.pt
Alandroal,cm-alandroal.pt
Albufeira,cm-albufeira.pt
Alcanena,cm-alcanena.pt
Alcobaça,cm-alcobaca.pt
Alcochete,cm-alcochete.pt
Alcoutim,cm-alcoutim.pt
Alenquer,cm-alenquer.pt
Alijó,cm-alijo.pt
Aljezur,cm-aljezur.pt
Almada,cm-almada.pt
Almeida,cm-almeida.pt
Almeirim,cm-almeirim.pt
Almodôvar,cm-almodovar.pt
Alpiarça,cm-alpiarca.pt
Alvaiázere,cm-alvaiazere.pt
Alvito,cm-alvito.pt
Amadora,cm-amadora.pt
Amarante,cm-amarante.pt
Amares,cm-amares.pt
Anadia,cm-anadia.pt
Ansião,cm-ansiao.pt
Arganil,cm-arganil.pt
Armamar,cm-armamar.pt
Arouca,cm-arouca.pt
Arraiolos,cm-arraiolos.pt
Arronches,cm-arronches.pt
Aveiro,cm-aveiro.pt
Avis,cm-avis.pt
Azambuja,cm-azambuja.pt
Baião,cm-baiao.pt
Barcelos,cm-barcelos.pt
Barrancos,cm-barrancos.pt
Barreiro,cm-barreiro.pt
Batalha,cm-batalha.pt
Beja,cm-beja.pt
Belmonte,cm-belmonte.pt
Benavente,cm-benavente.pt
Bombarral,cm-bombarral.pt
Borba,cm-borba.pt
Boticas,cm-boticas.pt
Braga,cm-braga.pt
Bragança,cm-braganca.pt
Cadaval,cm-cadaval.pt
Caminha,cm-caminha.pt
Campo Maior,cm-campo-maior.pt
Cantanhede,cm-cantanhede.pt
Cartaxo,cm-cartaxo.pt
Cascais,cm-cascais.pt
Chamusca,cm-chamusca.pt
Chaves,cm-chaves.pt
Cinfães,cm-cinfaes.pt
Coimbra,cm-coimbra.pt
Constância,cm-constancia.pt
Coruche,cm-coruche.pt
Corvo,cm-corvo.pt
Covilhã,cm-covilha.pt
Crato,cm-crato.pt
Cuba,cm-cuba.pt
Elvas,cm-elvas.pt
Entroncamento,cm-entroncamento.pt
Espinho,cm-espinho.pt
Esposende,cm-esposende.pt
Estarreja,cm-estarreja.pt
Estremoz,cm-estremoz.pt
Évora,cm-evora.pt
Fafe,cm-fafe.pt
Faro,cm-faro.pt
Felgueiras,cm-felgueiras.pt
Fronteira,cm-fronteira.pt
Funchal,cm-funchal.pt
