Município,Domain,Status
Abrantes,cm-abrantes.pt,OK
Águeda,cm-agueda.pt,OK
Alandroal,cm-alandroal.pt,OK
Albufeira,cm-albufeira.pt,OK
Alcanena,cm-alcanena.pt,OK
Alcobaça,cm-alcobaca.pt,OK
Alcochete,cm-alcochete.pt,OK
Alcoutim,cm-alcoutim.pt,OK
Alenquer,cm-alenquer.pt,OK
Alijó,cm-alijo.pt,OK
Aljezur,cm-aljezur.pt,OK
Almada,cm-almada.pt,OK
Almeida,cm-almeida.pt,OK
Almeirim,cm-almeirim.pt,OK
Almodôvar,cm-almodovar.pt,OK
Alpiarça,cm-alpiarca.pt,OK
Alvaiázere,cm-alvaiazere.pt,OK
Alvito,cm-alvito.pt,OK
Amadora,cm-amadora.pt,OK
Amarante,cm-amarante.pt,OK
Amares,cm-amares.pt,OK
Anadia,cm-anadia.pt,OK
Ansião,cm-ansiao.pt,OK
Arganil,cm-arganil.pt,OK
Armamar,cm-armamar.pt,OK
Arouca,cm-arouca.pt,OK
Arraiolos,cm-arraiolos.pt,OK
Arronches,cm-arronches.pt,OK
Aveiro,cm-aveiro.pt,OK
Avis,cm-avis.pt,OK
Azambuja,cm-azambuja.pt,OK
Baião,cm-baiao.pt,OK
Barcelos,cm-barcelos.pt,OK
Barrancos,cm-barrancos.pt,OK
Barreiro,cm-barreiro.pt,OK
Batalha,cm-batalha.pt,OK
Beja,cm-beja.pt,OK
Belmonte,cm-belmonte.pt,OK
Benavente,cm-benavente.pt,OK
Bombarral,cm-bombarral.pt,OK
Borba,cm-borba.pt,OK
Boticas,cm-boticas.pt,OK
Braga,cm-braga.pt,OK
Bragança,cm-braganca.pt,OK
Cadaval,cm-cadaval.pt,OK
Caminha,cm-caminha.pt,OK
Campo Maior,cm-campo-maior.pt,OK
Cantanhede,cm-cantanhede.pt,OK
Cartaxo,cm-cartaxo.pt,OK
Cascais,cm-cascais.pt,OK
Chamusca,cm-chamusca.pt,OK
Chaves,cm-chaves.pt,OK
Cinfães,cm-cinfaes.pt,OK
Coimbra,cm-coimbra.pt,OK
Constância,cm-constancia.pt,OK
Coruche,cm-coruche.pt,OK
Corvo,cm-corvo.pt,OK
Covilhã,cm-covilha.pt,OK
Crato,cm-crato.pt,OK
Cuba,cm-cuba.pt,OK
Elvas,cm-elvas.pt,OK
Entroncamento,cm-entroncamento.pt,OK
Espinho,cm-espinho.pt,OK
Esposende,cm-esposende.pt,OK
Estarreja,cm-estarreja.pt,OK
Estremoz,cm-estremoz.pt,OK
Évora,cm-evora.pt,OK
Fafe,cm-fafe.pt,OK
Faro,cm-faro.pt,OK
Felgueiras,cm-felgueiras.pt,OK
Fronteira,cm-fronteira.pt,OK
Funchal,cm-funchal.pt,OK
Fundão,cm-fundao.pt,OK
Gavião,cm-gaviao.pt,OK
Góis,cm-gois.pt,OK
Golegã,cm-golega.pt,OK
Gondomar,cm-gondomar.pt,OK
Gouveia,cm-gouveia.pt,OK
Grândola,cm-grandola.pt,OK
Guimarães,cm-guimaraes.pt,OK
Ílhavo,cm-ilhavo.pt,OK
Lagoa,cm-lagoa.pt,OK
Lagos,cm-lagos.pt,OK
Lamego,cm-lamego.pt,OK
Leiria,cm-leiria.pt,OK
Lisboa,cm-lisboa.pt,OK
Loulé,cm-loule.pt,OK
Loures,cm-loures.pt,OK
Lourinhã,cm-lourinha.pt,OK
Lousã,cm-lousa.pt,OK
Lousada,cm-lousada.pt,OK
Mação,cm-macao.pt,OK
Machico,cm-machico.pt,OK
Madalena,cm-madalena.pt,OK
Mafra,cm-mafra.pt,OK
Maia,cm-maia.pt,OK
Manteigas,cm-manteigas.pt,OK
Marvão,cm-marvao.pt,OK
Matosinhos,cm-matosinhos.pt,OK
Mealhada,cm-mealhada.pt,OK
Mêda,cm-meda.pt,OK
Melgaço,cm-melgaco.pt,OK
Mértola,cm-mertola.pt,OK
Mira,cm-mira.pt,OK
Mirandela,cm-mirandela.pt,OK
Mogadouro,cm-mogadouro.pt,OK
Moita,cm-moita.pt,OK
Monção,cm-moncao.pt,OK
Monchique,cm-monchique.pt,OK
Monforte,cm-monforte.pt,OK
Montalegre,cm-montalegre.pt,OK
Mora,cm-mora.pt,OK
Mortágua,cm-mortagua.pt,OK
Moura,cm-moura.pt,OK
Mourão,cm-mourao.pt,OK
Murça,cm-murca.pt,OK
Murtosa,cm-murtosa.pt,OK
Nazaré,cm-nazare.pt,OK
Nelas,cm-nelas.pt,OK
Nisa,cm-nisa.pt,OK
Nordeste,cm-nordeste.pt,OK
Óbidos,cm-obidos.pt,OK
Odemira,cm-odemira.pt,OK
Odivelas,cm-odivelas.pt,OK
Oeiras,cm-oeiras.pt,OK
Oleiros,cm-oleiros.pt,OK
Olhão,cm-olhao.pt,OK
Ourém,cm-ourem.pt,OK
Ourique,cm-ourique.pt,OK
Ovar,cm-ovar.pt,OK
Palmela,cm-palmela.pt,OK
Paredes,cm-paredes.pt,OK
Penacova,cm-penacova.pt,OK
Penafiel,cm-penafiel.pt,OK
Penamacor,cm-penamacor.pt,OK
Penedono,cm-penedono.pt,OK
Penela,cm-penela.pt,OK
Peniche,cm-peniche.pt,OK
Pinhel,cm-pinhel.pt,OK
Pombal,cm-pombal.pt,OK
Portalegre,cm-portalegre.pt,OK
Portel,cm-portel.pt,OK
Portimão,cm-portimao.pt,OK
Porto,cm-porto.pt,OK
Povoação,cm-povoacao.pt,OK
Redondo,cm-redondo.pt,OK
Resende,cm-resende.pt,OK
Sabrosa,cm-sabrosa.pt,OK
Sabugal,cm-sabugal.pt,OK
Santarém,cm-santarem.pt,OK
Santiago do Cacém,cm-santiago-do-cacem.pt,OK
Sardoal,cm-sardoal.pt,OK
Sátão,cm-satao.pt,OK
Seia,cm-seia.pt,OK
Seixal,cm-seixal.pt,OK
Sernancelhe,cm-sernancelhe.pt,OK
Serpa,cm-serpa.pt,OK
Sertã,cm-serta.pt,OK
Sesimbra,cm-sesimbra.pt,OK
Setúbal,cm-setubal.pt,OK
Silves,cm-silves.pt,OK
Sines,cm-sines.pt,OK
Sintra,cm-sintra.pt,OK
Soure,cm-soure.pt,OK
Sousel,cm-sousel.pt,OK
Tábua,cm-tabua.pt,OK
