Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score
Abrantes,-12.24,95.4857,1000.0,Dead,TIER 4 - Profecia CASSANDRA,58.1
Águeda,-2.83,96.1188,628.0,200,TIER 2 - Estagnação,2.6
Alandroal,-13.39,94.5689,628.0,Dead,TIER 4 - Profecia CASSANDRA,94.3
Albufeira,8.69,97.292,628.0,Dead,TIER 1 - Resiliência,0.6
Alcanena,-9.09,92.7969,125.0,200,TIER 2 - Estagnação,17.3
Alcobaça,-2.33,93.5699,168.0,200,TIER 1 - Resiliência,0.5
Alcochete,9.52,95.7594,945.0,Dead,TIER 1 - Resiliência,1.4
Alcoutim,-13.25,94.9915,628.0,200,TIER 4 - Profecia CASSANDRA,81.3
Alenquer,4.43,95.266,628.0,200,TIER 1 - Resiliência,0.4
Alijó,-11.1,95.0447,628.0,200,TIER 4 - Profecia CASSANDRA,71.5
Aljezur,5.39,94.8601,628.0,200,TIER 1 - Resiliência,1.7
Almada,1.89,93.736,628.0,403,TIER 1 - Resiliência,0.2
Almeida,-19.9,95.1886,628.0,200,TIER 4 - Profecia CASSANDRA,93.1
Almeirim,-5.03,95.7998,628.0,Dead,TIER 1 - Resiliência,1.3
Almodôvar,-9.48,95.2968,628.0,200,TIER 4 - Profecia CASSANDRA,60.5
Alpiarça,-8.6,95.3445,628.0,503,TIER 3 - Risco de Fuga,10.1
Alvaiázere,-12.78,95.9217,628.0,200,TIER 4 - Profecia CASSANDRA,83.0
Alvito,-10.72,94.7313,628.0,200,TIER 4 - Profecia CASSANDRA,75.7
Amadora,-0.86,95.8178,628.0,Dead,TIER 2 - Estagnação,0.7
Amarante,-6.98,95.9614,628.0,200,TIER 3 - Risco de Fuga,7.7
Amares,-0.68,95.0031,628.0,200,TIER 2 - Estagnação,1.9
Anadia,-4.65,95.7431,1237.0,200,TIER 2 - Estagnação,16.3
Ansião,-10.76,95.3438,902.0,200,TIER 4 - Profecia CASSANDRA,75.8
Arganil,-8.05,94.7327,271.0,200,TIER 3 - Risco de Fuga,36.3
Armamar,-8.78,95.3257,782.0,200,TIER 3 - Risco de Fuga,32.8
Arouca,-5.27,94.4963,345.0,200,TIER 3 - Risco de Fuga,2.5
Arraiolos,-8.47,94.6571,505.0,Dead,TIER 4 - Profecia CASSANDRA,67.6
Arronches,-12.51,94.5084,628.0,200,TIER 4 - Profecia CASSANDRA,84.5
Aveiro,4.06,95.5442,628.0,Dead,TIER 1 - Resiliência,0.3
Avis,-15.93,94.6819,628.0,200,TIER 4 - Profecia CASSANDRA,88.0
Azambuja,-0.34,95.5078,628.0,503,TIER 2 - Estagnação,1.3
Baião,-13.68,99.466,628.0,200,TIER 3 - Risco de Fuga,14.7
Barcelos,-2.77,95.4716,1532.0,200,TIER 2 - Estagnação,0.5
Barrancos,-17.01,94.6819,282.0,200,TIER 4 - Profecia CASSANDRA,84.0
Barreiro,-0.28,97.1859,1776.0,200,TIER 2 - Estagnação,1.7
Batalha,-0.24,94.1579,192.0,200,TIER 2 - Estagnação,0.6
Beja,-6.48,94.73,325.0,200,TIER 2 - Estagnação,0.4
Belmonte,-9.83,96.0324,529.0,200,TIER 3 - Risco de Fuga,16.8
Benavente,4.08,95.4279,866.0,200,TIER 1 - Resiliência,0.5
Bombarral,-1.25,95.3087,647.0,200,TIER 2 - Estagnação,1.1
Borba,-11.37,94.5055,395.0,Dead,TIER 4 - Profecia CASSANDRA,61.9
Boticas,-12.72,95.1957,522.0,200,TIER 4 - Profecia CASSANDRA,78.7
Braga,6.84,94.7852,428.0,200,TIER 1 - Resiliência,0.3
